"STATION"    , "DATE"               , "REPORT_TYPE", "SOURCE", "AWND", "BackupDirection", "BackupDistance", "BackupDistanceUnit", "BackupElements", "BackupElevation", "BackupElevationUnit", "BackupEquipment", "BackupLatitude", "BackupLongitude", "BackupName", "CDSD", "CLDD", "DSNW", "DYHF", "DYTS", "DailyAverageDewPointTemperature", "DailyAverageDryBulbTemperature", "DailyAverageRelativeHumidity", "DailyAverageSeaLevelPressure", "DailyAverageStationPressure", "DailyAverageWetBulbTemperature", "DailyAverageWindSpeed", "DailyCoolingDegreeDays", "DailyDepartureFromNormalAverageTemperature", "DailyHeatingDegreeDays", "DailyMaximumDryBulbTemperature", "DailyMinimumDryBulbTemperature", "DailyPeakWindDirection", "DailyPeakWindSpeed", "DailyPrecipitation", "DailySnowDepth", "DailySnowfall", "DailySustainedWindDirection", "DailySustainedWindSpeed", "DailyWeather" , "HDSD", "HTDD", "HourlyAltimeterSetting", "HourlyDewPointTemperature", "HourlyDryBulbTemperature", "HourlyPrecipitation", "HourlyPresentWeatherType"         , "HourlyPressureChange", "HourlyPressureTendency", "HourlyRelativeHumidity", "HourlySeaLevelPressure", "HourlySkyConditions"             , "HourlyStationPressure", "HourlyVisibility", "HourlyWetBulbTemperature", "HourlyWindDirection", "HourlyWindGustSpeed", "HourlyWindSpeed", "MonthlyAverageRH", "MonthlyDaysWithGT001Precip", "MonthlyDaysWithGT010Precip", "MonthlyDaysWithGT32Temp", "MonthlyDaysWithGT90Temp", "MonthlyDaysWithLT0Temp", "MonthlyDaysWithLT32Temp", "MonthlyDepartureFromNormalAverageTemperature", "MonthlyDepartureFromNormalCoolingDegreeDays", "MonthlyDepartureFromNormalHeatingDegreeDays", "MonthlyDepartureFromNormalMaximumTemperature", "MonthlyDepartureFromNormalMinimumTemperature", "MonthlyDepartureFromNormalPrecipitation", "MonthlyDewpointTemperature", "MonthlyGreatestPrecip", "MonthlyGreatestPrecipDate", "MonthlyGreatestSnowDepth", "MonthlyGreatestSnowDepthDate", "MonthlyGreatestSnowfall", "MonthlyGreatestSnowfallDate", "MonthlyMaxSeaLevelPressureValue", "MonthlyMaxSeaLevelPressureValueDate", "MonthlyMaxSeaLevelPressureValueTime", "MonthlyMaximumTemperature", "MonthlyMeanTemperature", "MonthlyMinSeaLevelPressureValue", "MonthlyMinSeaLevelPressureValueDate", "MonthlyMinSeaLevelPressureValueTime", "MonthlyMinimumTemperature", "MonthlySeaLevelPressure", "MonthlyStationPressure", "MonthlyTotalLiquidPrecipitation", "MonthlyTotalSnowfall", "MonthlyWetBulb", "NormalsCoolingDegreeDay", "NormalsHeatingDegreeDay", "REM"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , "REPORT_TYPE", "SOURCE", "ShortDurationEndDate005", "ShortDurationEndDate010", "ShortDurationEndDate015", "ShortDurationEndDate020", "ShortDurationEndDate030", "ShortDurationEndDate045", "ShortDurationEndDate060", "ShortDurationEndDate080", "ShortDurationEndDate100", "ShortDurationEndDate120", "ShortDurationEndDate150", "ShortDurationEndDate180", "ShortDurationPrecipitationValue005", "ShortDurationPrecipitationValue010", "ShortDurationPrecipitationValue015", "ShortDurationPrecipitationValue020", "ShortDurationPrecipitationValue030", "ShortDurationPrecipitationValue045", "ShortDurationPrecipitationValue060", "ShortDurationPrecipitationValue080", "ShortDurationPrecipitationValue100", "ShortDurationPrecipitationValue120", "ShortDurationPrecipitationValue150", "ShortDurationPrecipitationValue180", "Sunrise", "Sunset", "WindEquipmentChangeDate"
"72534014819", "2019-03-01T00:53:00", "FM-15"      , "7"     ,       ,                  ,                 ,                     ,                 ,                  ,                      ,                  ,                 ,                  ,             ,       ,       ,       ,       ,       ,                                  ,                                 ,                               ,                               ,                              ,                                 ,                        ,                         ,                                             ,                         ,                                 ,                                 ,                         ,                     ,                     ,                 ,                ,                              ,                          ,                ,       ,       , "30.19"                 , "18"                       , "26"                      , "0.00"               ,                                    ,                       ,                         , "71"                    , "30.23"                 , "OVC:08 47"                       , "29.52"                , "10.00"           , "23"                      , "330"                ,                      , "5"              ,                   ,                             ,                             ,                          ,                          ,                         ,                          ,                                               ,                                              ,                                              ,                                               ,                                               ,                                          ,                             ,                        ,                            ,                           ,                               ,                          ,                              ,                                  ,                                      ,                                      ,                            ,                         ,                                  ,                                      ,                                      ,                            ,                          ,                         ,                                  ,                       ,                 ,                          ,                          , "MET10103/01/19 00:53:02 METAR KMDW 010653Z 33004KT 10SM OVC047 M03/M08 A3019 RMK AO2 SLP238 T10331078 (MJF)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , "FM-15"      , "7"     ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,          ,         , "2007-06-13"
"72534014819", "2019-03-01T01:53:00", "FM-15"      , "7"     ,       ,                  ,                 ,                     ,                 ,                  ,                      ,                  ,                 ,                  ,             ,       ,       ,       ,       ,       ,                                  ,                                 ,                               ,                               ,                              ,                                 ,                        ,                         ,                                             ,                         ,                                 ,                                 ,                         ,                     ,                     ,                 ,                ,                              ,                          ,                ,       ,       , "30.19"                 , "18"                       , "26"                      , "0.00"               ,                                    ,                       ,                         , "71"                    , "30.23"                 , "BKN:07 46 OVC:08 80"             , "29.52"                , "10.00"           , "23"                      , "000"                ,                      , "0"              ,                   ,                             ,                             ,                          ,                          ,                         ,                          ,                                               ,                                              ,                                              ,                                               ,                                               ,                                          ,                             ,                        ,                            ,                           ,                               ,                          ,                              ,                                  ,                                      ,                                      ,                            ,                         ,                                  ,                                      ,                                      ,                            ,                          ,                         ,                                  ,                       ,                 ,                          ,                          , "MET10803/01/19 01:53:02 METAR KMDW 010753Z 00000KT 10SM BKN046 OVC080 M03/M08 A3019 RMK AO2 SLP237 T10331078 (MJF)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , "FM-15"      , "7"     ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,          ,         , "2007-06-13"
"72534014819", "2019-03-01T02:53:00", "FM-15"      , "7"     ,       ,                  ,                 ,                     ,                 ,                  ,                      ,                  ,                 ,                  ,             ,       ,       ,       ,       ,       ,                                  ,                                 ,                               ,                               ,                              ,                                 ,                        ,                         ,                                             ,                         ,                                 ,                                 ,                         ,                     ,                     ,                 ,                ,                              ,                          ,                ,       ,       , "30.17"                 , "18"                       , "26"                      , "0.00"               ,                                    , "+0.01"               , "8"                     , "71"                    , "30.22"                 , "BKN:07 49 OVC:08 75"             , "29.50"                , "10.00"           , "23"                      , "010"                ,                      , "6"              ,                   ,                             ,                             ,                          ,                          ,                         ,                          ,                                               ,                                              ,                                              ,                                               ,                                               ,                                          ,                             ,                        ,                            ,                           ,                               ,                          ,                              ,                                  ,                                      ,                                      ,                            ,                         ,                                  ,                                      ,                                      ,                            ,                          ,                         ,                                  ,                       ,                 ,                          ,                          , "MET11403/01/19 02:53:02 METAR KMDW 010853Z 01005KT 10SM BKN049 OVC075 M03/M08 A3017 RMK AO2 SLP233 T10331078 58005 (MJF)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , "FM-15"      , "7"     ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,          ,         , "2007-06-13"
"72534014819", "2019-03-01T03:00:00", "FM-12"      , "4"     ,       ,                  ,                 ,                     ,                 ,                  ,                      ,                  ,                 ,                  ,             ,       ,       ,       ,       ,       ,                                  ,                                 ,                               ,                               ,                              ,                                 ,                        ,                         ,                                             ,                         ,                                 ,                                 ,                         ,                     ,                     ,                 ,                ,                              ,                          ,                ,       ,       ,                         , "18"                       , "26"                      ,                      ,                                    , "+0.01"               , "8"                     , "71"                    , "30.22"                 , "41"                              , "29.50"                , "9.94"            , "23"                      , "010"                ,                      , "6"              ,                   ,                             ,                             ,                          ,                          ,                         ,                          ,                                               ,                                              ,                                              ,                                               ,                                               ,                                          ,                             ,                        ,                            ,                           ,                               ,                          ,                              ,                                  ,                                      ,                                      ,                            ,                         ,                                  ,                                      ,                                      ,                            ,                          ,                         ,                                  ,                       ,                 ,                          ,                          , "SYN06472534 32666 80105 11033 21078 39991 40233 58005 90853 555 90109="                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , "FM-12"      , "4"     ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,          ,         , "2007-06-13"
"72534014819", "2019-03-01T03:53:00", "FM-15"      , "7"     ,       ,                  ,                 ,                     ,                 ,                  ,                      ,                  ,                 ,                  ,             ,       ,       ,       ,       ,       ,                                  ,                                 ,                               ,                               ,                              ,                                 ,                        ,                         ,                                             ,                         ,                                 ,                                 ,                         ,                     ,                     ,                 ,                ,                              ,                          ,                ,       ,       , "30.18"                 , "16"                       , "26"                      , "0.00"               ,                                    ,                       ,                         , "66"                    , "30.22"                 , "SCT:04 33 BKN:07 75 OVC:08 90"   , "29.52"                , "10.00"           , "23"                      , "010"                ,                      , "5"              ,                   ,                             ,                             ,                          ,                          ,                         ,                          ,                                               ,                                              ,                                              ,                                               ,                                               ,                                          ,                             ,                        ,                            ,                           ,                               ,                          ,                              ,                                  ,                                      ,                                      ,                            ,                         ,                                  ,                                      ,                                      ,                            ,                          ,                         ,                                  ,                       ,                 ,                          ,                          , "MET11503/01/19 03:53:02 METAR KMDW 010953Z 01004KT 10SM SCT033 BKN075 OVC090 M03/M09 A3018 RMK AO2 SLP233 T10331089 (MJF)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , "FM-15"      , "7"     ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,          ,         , "2007-06-13"
"72534014819", "2019-03-01T04:53:00", "FM-15"      , "7"     ,       ,                  ,                 ,                     ,                 ,                  ,                      ,                  ,                 ,                  ,             ,       ,       ,       ,       ,       ,                                  ,                                 ,                               ,                               ,                              ,                                 ,                        ,                         ,                                             ,                         ,                                 ,                                 ,                         ,                     ,                     ,                 ,                ,                              ,                          ,                ,       ,       , "30.18"                 , "17"                       , "27"                      , "0.00"               ,                                    ,                       ,                         , "66"                    , "30.22"                 , "BKN:07 50 BKN:07 70 OVC:08 85"   , "29.52"                , "10.00"           , "24"                      , "030"                ,                      , "3"              ,                   ,                             ,                             ,                          ,                          ,                         ,                          ,                                               ,                                              ,                                              ,                                               ,                                               ,                                          ,                             ,                        ,                            ,                           ,                               ,                          ,                              ,                                  ,                                      ,                                      ,                            ,                         ,                                  ,                                      ,                                      ,                            ,                          ,                         ,                                  ,                       ,                 ,                          ,                          , "MET11503/01/19 04:53:02 METAR KMDW 011053Z 03003KT 10SM BKN050 BKN070 OVC085 M03/M08 A3018 RMK AO2 SLP235 T10281083 (MJF)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , "FM-15"      , "7"     ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,          ,         , "2007-06-13"
"72534014819", "2019-03-01T05:53:00", "FM-15"      , "7"     ,       ,                  ,                 ,                     ,                 ,                  ,                      ,                  ,                 ,                  ,             ,       ,       ,       ,       ,       ,                                  ,                                 ,                               ,                               ,                              ,                                 ,                        ,                         ,                                             ,                         ,                                 ,                                 ,                         ,                     ,                     ,                 ,                ,                              ,                          ,                ,       ,       , "30.18"                 , "18"                       , "27"                      , "0.00"               ,                                    , "-0.01"               , "1"                     , "69"                    , "30.22"                 , "FEW:02 50 OVC:08 80"             , "29.52"                , "9.00"            , "24"                      , "010"                ,                      , "5"              ,                   ,                             ,                             ,                          ,                          ,                         ,                          ,                                               ,                                              ,                                              ,                                               ,                                               ,                                          ,                             ,                        ,                            ,                           ,                               ,                          ,                              ,                                  ,                                      ,                                      ,                            ,                         ,                                  ,                                      ,                                      ,                            ,                          ,                         ,                                  ,                       ,                 ,                          ,                          , "MET12503/01/19 05:53:02 METAR KMDW 011153Z 01004KT 9SM FEW050 OVC080 M03/M08 A3018 RMK AO2 SLP235 T10281078 11028 21039 51003 (MJF)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , "FM-15"      , "7"     ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,          ,         , "2007-06-13"
"72534014819", "2019-03-01T06:53:00", "FM-15"      , "7"     ,       ,                  ,                 ,                     ,                 ,                  ,                      ,                  ,                 ,                  ,             ,       ,       ,       ,       ,       ,                                  ,                                 ,                               ,                               ,                              ,                                 ,                        ,                         ,                                             ,                         ,                                 ,                                 ,                         ,                     ,                     ,                 ,                ,                              ,                          ,                ,       ,       , "30.19"                 , "19"                       , "28"                      , "0.00"               ,                                    ,                       ,                         , "69"                    , "30.24"                 , "FEW:02 40 OVC:08 80"             , "29.52"                , "10.00"           , "25"                      , "360"                ,                      , "5"              ,                   ,                             ,                             ,                          ,                          ,                         ,                          ,                                               ,                                              ,                                              ,                                               ,                                               ,                                          ,                             ,                        ,                            ,                           ,                               ,                          ,                              ,                                  ,                                      ,                                      ,                            ,                         ,                                  ,                                      ,                                      ,                            ,                          ,                         ,                                  ,                       ,                 ,                          ,                          , "MET10803/01/19 06:53:02 METAR KMDW 011253Z 36004KT 10SM FEW040 OVC080 M02/M07 A3019 RMK AO2 SLP239 T10221072 (WEB)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , "FM-15"      , "7"     ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,          ,         , "2007-06-13"
"72534014819", "2019-03-01T07:53:00", "FM-15"      , "7"     ,       ,                  ,                 ,                     ,                 ,                  ,                      ,                  ,                 ,                  ,             ,       ,       ,       ,       ,       ,                                  ,                                 ,                               ,                               ,                              ,                                 ,                        ,                         ,                                             ,                         ,                                 ,                                 ,                         ,                     ,                     ,                 ,                ,                              ,                          ,                ,       ,       , "30.19"                 , "20"                       , "29"                      , "0.00"               ,                                    ,                       ,                         , "69"                    , "30.24"                 , "FEW:02 40 OVC:08 80"             , "29.52"                , "10.00"           , "26"                      , "040"                ,                      , "6"              ,                   ,                             ,                             ,                          ,                          ,                         ,                          ,                                               ,                                              ,                                              ,                                               ,                                               ,                                          ,                             ,                        ,                            ,                           ,                               ,                          ,                              ,                                  ,                                      ,                                      ,                            ,                         ,                                  ,                                      ,                                      ,                            ,                          ,                         ,                                  ,                       ,                 ,                          ,                          , "MET10803/01/19 07:53:02 METAR KMDW 011353Z 04005KT 10SM FEW040 OVC080 M02/M07 A3019 RMK AO2 SLP239 T10171067 (WEB)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , "FM-15"      , "7"     ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,          ,         , "2007-06-13"
"72534014819", "2019-03-01T08:53:00", "FM-15"      , "7"     ,       ,                  ,                 ,                     ,                 ,                  ,                      ,                  ,                 ,                  ,             ,       ,       ,       ,       ,       ,                                  ,                                 ,                               ,                               ,                              ,                                 ,                        ,                         ,                                             ,                         ,                                 ,                                 ,                         ,                     ,                     ,                 ,                ,                              ,                          ,                ,       ,       , "30.20"                 , "21"                       , "30"                      , "0.00"               ,                                    , "-0.01"               , "1"                     , "69"                    , "30.24"                 , "OVC:08 75"                       , "29.53"                , "10.00"           , "27"                      , "100"                ,                      , "8"              ,                   ,                             ,                             ,                          ,                          ,                         ,                          ,                                               ,                                              ,                                              ,                                               ,                                               ,                                          ,                             ,                        ,                            ,                           ,                               ,                          ,                              ,                                  ,                                      ,                                      ,                            ,                         ,                                  ,                                      ,                                      ,                            ,                          ,                         ,                                  ,                       ,                 ,                          ,                          , "MET10703/01/19 08:53:02 METAR KMDW 011453Z 10007KT 10SM OVC075 M01/M06 A3020 RMK AO2 SLP239 T10111061 51005 (WEB)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , "FM-15"      , "7"     ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,                                     ,          ,         , "2007-06-13"
